filename,object_id,final_shape,tgt_points,color_transfer_coeffs,polynomial_coeffs,polynomial_mean_coeffs,percentile_coeffs
-8uEGk5o-Mm4J_WrNd-lVg.jpg,26,diamond-l,"[[1256.0, 1370.0], [1302.0, 1327.0], [1345.0, 1368.0], [1302.0, 1413.0]]","[[0.0582607164978981, -2.478071451187134], [0.1386220008134842, 0.1498916745185852], [0.061472419649362564, -0.2306762933731079]]","[[0.049639105796813965, 0.3179578483104706], [0.025000406429171562, 0.23538826406002045], [-0.20365791022777557, 0.11962530016899109]]","[[0.01958504132926464, 0.22714683413505554]]","[[0.2607366144657135, 0.09784984588623047]]"
-8uEGk5o-Mm4J_WrNd-lVg.jpg,25,other,"[[1545.0, 1188.0], [1556.0, 1112.0], [1583.0, 1187.0], [1566.0, 1218.0]]",,,,
-ERU5nErUqQn3JZ6sSGofA.jpg,14,diamond-l,"[[2077.0, 1222.0], [2115.0, 1179.0], [2160.0, 1219.0], [2119.0, 1263.0]]","[[0.049096569418907166, -2.026524305343628], [0.14822186529636383, 0.7269036769866943], [0.05942494422197342, -0.3686314523220062]]","[[0.1483573019504547, 0.4828551411628723], [0.17136819660663605, 0.3823006749153137], [-0.11954023689031601, 0.07524779438972473]]","[[0.1291338950395584, 0.32270142436027527]]","[[0.5641754865646362, 0.07689951360225677]]"
-ERU5nErUqQn3JZ6sSGofA.jpg,10,other,"[[1968.0, 1221.0], [2020.0, 1219.0], [2022.0, 1294.0], [1972.0, 1295.0]]",,,,
-ERU5nErUqQn3JZ6sSGofA.jpg,12,other,"[[2076.041748046875, 1034.8958740234375], [2136.979248046875, 1034.8958740234375], [2138.541748046875, 1093.75], [2075.520751953125, 1093.2291259765625]]",,,,
-ERU5nErUqQn3JZ6sSGofA.jpg,16,other,"[[2722.0, 876.0], [2757.0, 867.0], [2766.0, 963.0], [2727.0, 970.0]]",,,,
-ERU5nErUqQn3JZ6sSGofA.jpg,13,circle,"[[2084.0, 1121.0], [2141.0, 1121.0], [2141.0, 1184.0], [2084.0, 1184.0]]","[[0.29929548501968384, -0.5579791069030762], [0.22914372384548187, -0.4505437910556793], [0.35367298126220703, -0.33949288725852966]]","[[0.2524847686290741, 0.3592621982097626], [0.13644090294837952, 0.44667211174964905], [0.1477544605731964, 0.43777942657470703]]","[[0.12838032841682434, 0.4509057104587555]]","[[0.46869027614593506, 0.2659074366092682]]"
-ERU5nErUqQn3JZ6sSGofA.jpg,28,circle,"[[3988.0, 213.0], [4201.0, 213.0], [4201.0, 458.0], [3988.0, 458.0]]","[[0.38529399037361145, -0.1627671718597412], [0.32336318492889404, -0.5549342632293701], [0.47987109422683716, -0.33202552795410156]]","[[0.09481290727853775, 0.5636726021766663], [0.20595164597034454, 0.4850027859210968], [0.2009100615978241, 0.5092337727546692]]","[[0.17362888157367706, 0.5010714530944824]]","[[0.6645230054855347, 0.1768593043088913]]"
-GxYFOCn-Xfnljtk30lpIA.jpg,83,diamond-l,"[[1858.0, 1527.0], [1890.0, 1494.0], [1924.0, 1529.0], [1893.0, 1560.0]]","[[0.08307554572820663, -2.7129998207092285], [0.21787093579769135, 0.5784156322479248], [0.10250082612037659, -0.2123512327671051]]","[[0.05379221960902214, 0.36528393626213074], [0.06248634681105614, 0.20893923938274384], [0.14093329012393951, 0.038624487817287445]]","[[0.056658290326595306, 0.20458653569221497]]","[[0.33809560537338257, 0.037373561412096024]]"
-GxYFOCn-Xfnljtk30lpIA.jpg,80,rect-l,"[[1647.0, 1516.0], [1687.0, 1516.0], [1687.0, 1566.0], [1647.0, 1566.0]]","[[0.11163327097892761, -1.2080450057983398], [0.13514094054698944, -0.3271139860153198], [0.09166112542152405, -0.38626837730407715]]","[[0.16751326620578766, 0.26223835349082947], [0.171186164021492, 0.3067745864391327], [0.17527151107788086, 0.3157404065132141]]","[[0.1656716763973236, 0.2949814796447754]]","[[0.32384705543518066, 0.247639998793602]]"
-J48Mok3W-uXxpG-eCuECQ.jpg,25,diamond-l,"[[578.0, 1110.0], [643.0, 977.0], [706.0, 1164.0], [646.0, 1289.0]]","[[0.03639194741845131, -1.766481876373291], [0.106803297996521, 0.01945546641945839], [0.036625999957323074, -0.330188125371933]]","[[0.10889469087123871, 0.40887829661369324], [0.08299509435892105, 0.31860941648483276], [-0.2153397500514984, 0.2408660352230072]]","[[0.06172851100564003, 0.3344966173171997]]","[[0.2891467809677124, 0.23091968894004822]]"
-J48Mok3W-uXxpG-eCuECQ.jpg,24,other,"[[413.0, 485.0], [763.0, 534.0], [764.0, 639.0], [413.0, 593.0]]",,,,
-LtOhSguWQXyerbzUN6HpA.jpg,29,diamond-l,"[[45.0, 1722.0], [98.0, 1664.0], [127.0, 1730.0], [77.0, 1790.0]]","[[0.09465020895004272, -1.7101852893829346], [0.12709198892116547, 0.8560689687728882], [0.10778366774320602, -0.2954198718070984]]","[[0.055361777544021606, 0.7595886588096619], [0.0016179578378796577, 0.3105178773403168], [0.045705873519182205, 0.07102327793836594]]","[[0.02191041223704815, 0.3858368694782257]]","[[0.7343882322311401, 0.061282940208911896]]"
-LtOhSguWQXyerbzUN6HpA.jpg,33,diamond-l,"[[3087.0, 1820.0], [3128.0, 1767.0], [3181.0, 1816.0], [3141.0, 1868.0]]","[[0.13080215454101562, -3.483806610107422], [0.20755380392074585, 0.34712672233581543], [0.1467197984457016, -0.06650233268737793]]","[[0.01867089793086052, 0.1939949095249176], [0.014806968159973621, 0.12714749574661255], [0.016039136797189713, 0.029595643281936646]]","[[0.012096748687326908, 0.11814844608306885]]","[[0.19149242341518402, 0.02029048092663288]]"
-LtOhSguWQXyerbzUN6HpA.jpg,35,diamond-l,"[[2944.0, 1779.0], [3005.0, 1701.0], [3091.0, 1771.0], [3023.0, 1848.0]]","[[0.1335143893957138, -2.1608762741088867], [0.21465983986854553, 0.7514787316322327], [0.14191825687885284, -0.17412319779396057]]","[[0.008568883873522282, 0.5959274172782898], [-0.022217202931642532, 0.17995543777942657], [-0.09810753166675568, 0.06027119979262352]]","[[-0.024849077686667442, 0.28488919138908386]]","[[0.5701958537101746, 0.026842065155506134]]"
-LtOhSguWQXyerbzUN6HpA.jpg,34,other,"[[2964.0, 1845.0], [3017.0, 1845.0], [3021.0, 1882.0], [2968.0, 1886.0]]",,,,
-LtOhSguWQXyerbzUN6HpA.jpg,41,other,"[[2486.0, 1615.0], [2598.0, 1609.0], [2600.0, 1644.0], [2488.0, 1648.0]]",,,,
-LtOhSguWQXyerbzUN6HpA.jpg,40,octagon,"[[2497.0, 1467.0], [2607.0, 1503.0], [2570.0, 1607.0], [2463.0, 1571.0]]","[[0.3600369989871979, -1.1710717678070068], [0.33841896057128906, -0.16834096610546112], [0.4893721342086792, -0.12712618708610535]]","[[0.05469544976949692, 0.5768623352050781], [0.6862511038780212, 0.12034846097230911], [0.6719757914543152, 0.14589573442935944]]","[[0.7527745962142944, 0.043782226741313934]]","[[0.720526933670044, 0.06709559261798859]]"
-Nm-gZulic8rBJCPVNOzFw.jpg,74,diamond-l,"[[2883.0, 1632.0], [3006.0, 1500.0], [3149.0, 1611.0], [3042.0, 1741.0]]","[[0.07175403833389282, -2.2918105125427246], [0.15445418655872345, 0.9939789175987244], [0.08186915516853333, -0.31767237186431885]]","[[0.1227969378232956, 0.512107253074646], [0.1195610985159874, 0.3242245018482208], [-0.21822968125343323, 0.03773663938045502]]","[[0.08696786314249039, 0.3014516234397888]]","[[0.5864301323890686, 0.018571335822343826]]"
-Nm-gZulic8rBJCPVNOzFw.jpg,75,other,"[[2944.0, 1747.0], [3103.0, 1752.0], [3103.0, 1820.0], [2945.0, 1818.0]]",,,,
-Nm-gZulic8rBJCPVNOzFw.jpg,82,other,"[[2676.0, 1819.0], [2681.0, 1658.0], [2703.0, 1658.0], [2703.0, 1812.0]]",,,,
-Nm-gZulic8rBJCPVNOzFw.jpg,60,rect-m,"[[399.0, 1646.0], [492.0, 1642.0], [488.0, 1772.0], [399.0, 1780.0]]","[[0.05830766260623932, -0.45090577006340027], [0.08347533643245697, -0.16426986455917358], [0.057473327964544296, -0.5180661082267761]]","[[0.04851587116718292, 0.6641199588775635], [0.054658934473991394, 0.6952568292617798], [0.059363968670368195, 0.6927039623260498]]","[[0.04502321034669876, 0.6910741329193115]]","[[0.3042897582054138, 0.5795037150382996]]"
-Nm-gZulic8rBJCPVNOzFw.jpg,76,rect-m,"[[2971.0, 1826.0], [3086.0, 1823.0], [3093.0, 1973.0], [2977.0, 1973.0]]","[[0.09015759825706482, -0.8710363507270813], [0.14116176962852478, -0.2604104280471802], [0.08543294668197632, -0.4447398781776428]]","[[0.1077667698264122, 0.41362687945365906], [0.11115312576293945, 0.46777525544166565], [0.1111980602145195, 0.48715218901634216]]","[[0.10241144150495529, 0.45737335085868835]]","[[0.3703652322292328, 0.35565653443336487]]"
-Nm-gZulic8rBJCPVNOzFw.jpg,63,diamond-l,"[[2058.0, 1810.0], [2086.0, 1778.0], [2120.0, 1810.0], [2089.0, 1841.0]]","[[0.030937636271119118, -2.2788496017456055], [0.19723132252693176, 0.8402091264724731], [0.02887442708015442, -0.21544292569160461]]","[[0.04087424278259277, 0.730956494808197], [0.03124816343188286, 0.16573560237884521], [0.16593532264232635, 0.0632639154791832]]","[[0.03271805867552757, 0.3252973258495331]]","[[0.7032347321510315, 0.07242018729448318]]"
-QZycUbAPJ6CQfGZc1lWrg.jpg,71,diamond-l,"[[1197.0, 680.0], [1292.0, 588.0], [1379.0, 682.0], [1281.0, 767.0]]","[[0.05712170526385307, -1.7711797952651978], [0.06380730122327805, -0.22716878354549408], [0.046750351786613464, -0.3671843707561493]]","[[0.024516209959983826, 0.30649030208587646], [0.04815490171313286, 0.37103596329689026], [0.25835296511650085, 0.24258574843406677]]","[[0.02713019773364067, 0.3151605725288391]]","[[0.18742434680461884, 0.24665002524852753]]"
-QZycUbAPJ6CQfGZc1lWrg.jpg,74,diamond-l,"[[2594.0, 1137.0], [2717.0, 1013.0], [2850.0, 1131.0], [2729.0, 1255.0]]","[[0.08277962356805801, -2.509887933731079], [0.14753948152065277, 0.08983298391103745], [0.06284062564373016, -0.2997055947780609]]","[[0.037708114832639694, 0.2154117226600647], [0.06347855180501938, 0.2890845239162445], [-0.06304296851158142, 0.10123588144779205]]","[[0.0312190018594265, 0.20679695904254913]]","[[0.2755989730358124, 0.08627451211214066]]"
-QZycUbAPJ6CQfGZc1lWrg.jpg,72,other,"[[1233.0, 769.0], [1342.0, 769.0], [1343.0, 832.0], [1232.0, 836.0]]",,,,
-QZycUbAPJ6CQfGZc1lWrg.jpg,64,other,"[[2358.0, 1234.0], [2388.0, 1221.0], [2427.0, 1232.0], [2444.0, 1262.0], [2439.0, 1288.0], [2398.0, 1312.0], [2354.0, 1290.0]]",,,,
-iRB909t8cdNUYvETB3O4A.jpg,26,diamond-l,"[[2623.0, 1660.0], [2761.0, 1504.0], [2921.0, 1654.0], [2786.0, 1802.0]]","[[0.08844304084777832, -2.528667688369751], [0.24412479996681213, 0.34041088819503784], [0.0810125321149826, -0.2435373216867447]]","[[0.031465381383895874, 0.32734230160713196], [0.010950390249490738, 0.25956544280052185], [-0.31041663885116577, 0.09146002680063248]]","[[-0.014013622887432575, 0.2368980348110199]]","[[0.3722790479660034, 0.05989463999867439]]"
-mB0TstV0eFGU-qpHbMdDw.jpg,113,diamond-s,"[[1822.0, 674.0], [1868.0, 619.0], [1935.0, 664.0], [1889.0, 724.0]]","[[0.1427401453256607, -3.4228506088256836], [0.2549152970314026, -0.45786914229393005], [0.1399093121290207, -0.03841857239603996]]","[[0.029375387355685234, 0.13268667459487915], [0.035833701491355896, 0.11130660772323608], [0.08383556455373764, 0.06729473918676376]]","[[0.04605535790324211, 0.10186924785375595]]","[[0.10980392247438431, 0.07450980693101883]]"
-mB0TstV0eFGU-qpHbMdDw.jpg,112,other,"[[1835.0, 593.0], [1895.0, 590.0], [1895.0, 615.0], [1839.0, 623.0]]",,,,
-mB0TstV0eFGU-qpHbMdDw.jpg,121,circle,"[[1622.0, 825.0], [1689.0, 825.0], [1689.0, 892.0], [1622.0, 892.0]]","[[0.21215279400348663, -3.5101888179779053], [0.7024477124214172, -1.379181146621704], [0.30337369441986084, 0.0614033043384552]]","[[-0.06590741872787476, 0.18972034752368927], [-0.0022501936182379723, 0.07536737620830536], [0.046968262642621994, 0.09147422015666962]]","[[-0.006348622031509876, 0.10440350323915482]]","[[0.11764706671237946, 0.0470588244497776]]"
-o4-dLzOXoOSOdR4P9ZGtA.jpg,61,diamond-l,"[[1696.0, 1690.0], [1735.0, 1627.0], [1802.0, 1666.0], [1761.0, 1733.0]]","[[0.059801798313856125, -1.442730188369751], [0.15656346082687378, 0.7463350892066956], [0.06721602380275726, -0.4591699242591858]]","[[0.2473168969154358, 0.5455337762832642], [0.34745970368385315, 0.5006036162376404], [-0.3355576694011688, 0.12437766045331955]]","[[0.2331966608762741, 0.40578189492225647]]","[[0.7542324066162109, 0.1133003905415535]]"
-o4-dLzOXoOSOdR4P9ZGtA.jpg,72,other,"[[2116.34619140625, 1455.769287109375], [2209.615478515625, 1454.8077392578125], [2211.53857421875, 1544.230712890625], [2119.230712890625, 1546.15380859375]]",,,,
-pVSrIxeKECPZ_q7rQ9m1g.jpg,105,diamond-l,"[[2048.0, 1152.0], [2123.0, 1078.0], [2180.0, 1152.0], [2129.0, 1223.0]]","[[0.1001863107085228, -2.220496892929077], [0.20635032653808594, 0.287021279335022], [0.10423646122217178, -0.25678563117980957]]","[[0.1684209406375885, 0.28297194838523865], [0.152214914560318, 0.2119491845369339], [0.09269879758358002, 0.08813051879405975]]","[[0.15039560198783875, 0.19610120356082916]]","[[0.36215436458587646, 0.07463236153125763]]"
-pVSrIxeKECPZ_q7rQ9m1g.jpg,100,other,"[[1693.0, 1314.0], [1728.0, 1318.0], [1728.0, 1360.0], [1690.0, 1360.0]]",,,,
-pVSrIxeKECPZ_q7rQ9m1g.jpg,65,rect-s,"[[317.0, 1179.0], [363.0, 1179.0], [364.0, 1232.0], [317.0, 1232.0]]","[[0.09648828953504562, -1.4030977487564087], [0.05493999645113945, -0.3221748471260071], [0.12252204865217209, -0.3485478460788727]]","[[0.09849810600280762, 0.365893691778183], [0.026406990364193916, 0.4482300579547882], [0.021611254662275314, 0.4359416663646698]]","[[0.033409252762794495, 0.42884016036987305]]","[[0.1962176263332367, 0.3521716296672821]]"
-qv7yT8igffux_xn1j38_g.jpg,89,diamond-l,"[[2009.0, 1369.0], [2107.0, 1267.0], [2213.0, 1368.0], [2136.0, 1467.0]]","[[0.13317953050136566, -2.961883306503296], [0.23204545676708221, 0.7729082107543945], [0.13379305601119995, -0.1282198578119278]]","[[0.08934606611728668, 0.3246150016784668], [0.04189404472708702, 0.1450614333152771], [-0.05503705516457558, 0.021786052733659744]]","[[0.056434229016304016, 0.16555914282798767]]","[[0.397988498210907, 0.013647366315126419]]"
-qv7yT8igffux_xn1j38_g.jpg,99,diamond-l,"[[266.0, 1458.0], [372.0, 1342.0], [475.0, 1455.0], [359.0, 1557.0]]","[[0.13827824592590332, -2.8281941413879395], [0.2941857874393463, 0.6801231503486633], [0.14716306328773499, -0.13984501361846924]]","[[0.14908194541931152, 0.2916627824306488], [0.08009546995162964, 0.1380460113286972], [-0.0828852429986, 0.031142162159085274]]","[[0.10280372202396393, 0.1555824875831604]]","[[0.43807923793792725, 0.014330193400382996]]"
-qv7yT8igffux_xn1j38_g.jpg,110,other,"[[2063.0, 1470.0], [2178.0, 1471.0], [2177.0, 1527.0], [2062.0, 1525.0]]",,,,
-qv7yT8igffux_xn1j38_g.jpg,98,diamond-l,"[[1222.5, 752.0], [1333.5, 627.5], [1464.0, 729.5], [1353.0, 854.0]]","[[0.12253327667713165, -3.0782949924468994], [0.29325976967811584, 0.6513038873672485], [0.12538906931877136, -0.10974553227424622]]","[[0.10291527211666107, 0.2899476885795593], [0.04980461671948433, 0.1273990124464035], [-0.01687949150800705, 0.025040706619620323]]","[[0.06289462000131607, 0.15285995602607727]]","[[0.2831116020679474, 0.016065219417214394]]"
-tRuGgG35QpQjRBw5Gi1RQ.jpg,102,diamond-l,"[[1032.0, 1432.0], [1088.0, 1379.0], [1144.0, 1435.0], [1081.0, 1491.0]]","[[0.06252145022153854, -1.9142117500305176], [0.1184006854891777, -0.017782650887966156], [0.06200805678963661, -0.3610532581806183]]","[[-0.026824405416846275, 0.36197662353515625], [-0.004829538520425558, 0.4061361253261566], [-0.9292773604393005, 0.24265922605991364]]","[[-0.08400416374206543, 0.35003820061683655]]","[[0.29492586851119995, 0.16325943171977997]]"
-tRuGgG35QpQjRBw5Gi1RQ.jpg,51,rect-s,"[[2554.0, 1369.0], [2599.0, 1368.0], [2602.0, 1402.0], [2560.0, 1440.0]]","[[0.08413557708263397, -2.1190273761749268], [0.09390392899513245, -0.4941282570362091], [0.09116057306528091, -0.25959309935569763]]","[[0.005327789578586817, 0.2839213013648987], [-0.0004169306776020676, 0.2992475926876068], [-0.0005765638197772205, 0.3115532100200653]]","[[-0.0035243763122707605, 0.30028867721557617]]","[[0.11244600266218185, 0.2442329376935959]]"
-tRuGgG35QpQjRBw5Gi1RQ.jpg,50,rect-s,"[[2548.0, 1302.0], [2595.0, 1299.0], [2598.0, 1365.0], [2551.0, 1365.0]]","[[0.07393144071102142, -1.8662384748458862], [0.06232732906937599, -0.4689285159111023], [0.0948474332690239, -0.2946740388870239]]","[[0.02564060688018799, 0.3125769793987274], [0.02244587615132332, 0.329097718000412], [0.022461244836449623, 0.35466745495796204]]","[[0.02331288531422615, 0.33059677481651306]]","[[0.12874406576156616, 0.2845153510570526]]"
-v-fBBFa9D69F_DaV-z1Tg.jpg,117,diamond-s,"[[1069.0, 1560.0], [1103.0, 1517.0], [1141.0, 1545.0], [1113.0, 1587.0]]","[[0.12262476980686188, -1.5577995777130127], [0.26818951964378357, -0.08542455732822418], [0.11222827434539795, -0.33573782444000244]]","[[0.23232097923755646, 0.27540895342826843], [0.23919428884983063, 0.26197782158851624], [0.30078279972076416, 0.15210358798503876]]","[[0.23349504172801971, 0.24018163979053497]]","[[0.3431985080242157, 0.2100605070590973]]"
-v-fBBFa9D69F_DaV-z1Tg.jpg,118,other,"[[1083.0, 1593.0], [1136.0, 1584.0], [1143.0, 1638.0], [1092.0, 1644.0]]",,,,
00rKt4pJadETqgb3NYonSA.jpg,80,diamond-l,"[[2695.0, 1648.0], [2757.0, 1557.0], [2846.0, 1629.0], [2790.0, 1723.0]]","[[0.06721733510494232, -2.7791576385498047], [0.2523421049118042, 0.38661643862724304], [0.08120544254779816, -0.28712284564971924]]","[[0.046346087008714676, 0.24674561619758606], [0.08234257996082306, 0.2837640643119812], [-0.16523316502571106, 0.06944601237773895]]","[[0.043775953352451324, 0.20167620480060577]]","[[0.3328787386417389, 0.052221283316612244]]"
00rKt4pJadETqgb3NYonSA.jpg,50,other,"[[1265.0, 1711.0], [1361.0, 1713.0], [1359.0, 1767.0], [1263.0, 1765.0]]",,,,
00rKt4pJadETqgb3NYonSA.jpg,76,other,"[[3735.265625, 1299.5169677734375], [3823.1884765625, 1292.2705078125], [3828.985595703125, 1373.429931640625], [3739.613525390625, 1380.67626953125]]",,,,
00rKt4pJadETqgb3NYonSA.jpg,77,rect-s,"[[3739.0, 1435.0], [3835.0, 1423.0], [3850.0, 1569.0], [3750.0, 1581.0]]","[[0.07072684913873672, -2.7637836933135986], [0.08628001064062119, -0.695898711681366], [0.07481703162193298, -0.1683233082294464]]","[[0.015786489471793175, 0.175775408744812], [0.025004882365465164, 0.1719399094581604], [0.029890598729252815, 0.21140620112419128]]","[[0.027785995975136757, 0.18162216246128082]]","[[0.06287936866283417, 0.17116287350654602]]"
00rKt4pJadETqgb3NYonSA.jpg,78,other,"[[2646.052734375, 1692.5438232421875], [2673.684326171875, 1692.5438232421875], [2674.5615234375, 1722.368408203125], [2647.368408203125, 1722.8070068359375]]",,,,
00rKt4pJadETqgb3NYonSA.jpg,79,rect-s,"[[2639.0, 1745.0], [2681.0, 1745.0], [2684.0, 1806.0], [2644.0, 1806.0]]","[[0.14141742885112762, -2.304900884628296], [0.17082715034484863, -0.5497398972511292], [0.1389237642288208, -0.19372858107089996]]","[[0.15406905114650726, 0.1250426471233368], [0.04358087480068207, 0.22044488787651062], [0.040274057537317276, 0.24875056743621826]]","[[0.05519741401076317, 0.21912482380867004]]","[[0.12380578368902206, 0.204550638794899]]"
00rKt4pJadETqgb3NYonSA.jpg,87,other,"[[2293.0, 1664.0], [2337.0, 1664.0], [2337.0, 1701.0], [2294.0, 1700.0]]",,,,
00rKt4pJadETqgb3NYonSA.jpg,98,other,"[[2758.0, 1727.0], [2813.0, 1722.0], [2822.0, 1811.0], [2770.0, 1813.0]]",,,,
00rKt4pJadETqgb3NYonSA.jpg,85,diamond-l,"[[2277.0, 1764.0], [2318.0, 1725.0], [2355.0, 1766.0], [2320.0, 1805.0]]","[[0.04939442127943039, -2.5078787803649902], [0.1676575392484665, 0.2793598771095276], [0.048898011445999146, -0.30512645840644836]]","[[0.03042897954583168, 0.29380273818969727], [0.06127413734793663, 0.31341564655303955], [-0.3456916809082031, 0.1141415536403656]]","[[0.013865566812455654, 0.2449277639389038]]","[[0.30137112736701965, 0.09807804226875305]]"
04qLNUT3T87a-PBiQjbkxA.jpg,41,diamond-l,"[[1506.0, 1522.0], [1535.0, 1494.0], [1563.0, 1522.0], [1536.0, 1554.0]]","[[0.03581119328737259, -1.8498015403747559], [0.073435477912426, -0.13137927651405334], [0.03259080648422241, -0.28729867935180664]]","[[0.028941914439201355, 0.4329116642475128], [-0.013858416117727757, 0.3002169728279114], [-0.14820176362991333, 0.2595929205417633]]","[[-0.0030599504243582487, 0.33301806449890137]]","[[0.24450673162937164, 0.2291320115327835]]"
04qLNUT3T87a-PBiQjbkxA.jpg,48,diamond-l,"[[1870.0, 1436.0], [1915.0, 1387.0], [1964.0, 1440.0], [1922.0, 1482.0]]","[[0.029453013092279434, -1.6589900255203247], [0.056873906403779984, 0.0043397340923547745], [0.03834370896220207, -0.3220078945159912]]","[[0.020177951082587242, 0.5298466682434082], [-0.020665597170591354, 0.34622469544410706], [-0.24692687392234802, 0.2830987870693207]]","[[-0.020315106958150864, 0.39328375458717346]]","[[0.3003925681114197, 0.2448812872171402]]"
04qLNUT3T87a-PBiQjbkxA.jpg,49,other,"[[1883.0, 1481.0], [1948.0, 1485.0], [1951.0, 1510.0], [1883.0, 1510.0]]",,,,
04qLNUT3T87a-PBiQjbkxA.jpg,77,other,"[[122.0, 1142.0], [437.0, 1154.0], [429.0, 1281.0], [110.0, 1260.0]]",,,,
0DYvmeaHMF1fvcDrf9zwbg.jpg,42,diamond-l,"[[1551.0, 881.0], [1595.0, 838.0], [1636.0, 879.0], [1597.0, 920.0]]","[[0.04174632206559181, -3.2389535903930664], [0.12324360758066177, 0.2556365430355072], [0.03815057501196861, -0.14455808699131012]]","[[0.047652047127485275, 0.23617756366729736], [0.028109529986977577, 0.1645028442144394], [-0.02192656509578228, 0.058510467410087585]]","[[0.033044613897800446, 0.1540156453847885]]","[[0.19893194735050201, 0.0637921541929245]]"
0DYvmeaHMF1fvcDrf9zwbg.jpg,43,other,"[[1566.0, 921.0], [1624.0, 921.0], [1624.0, 962.0], [1566.0, 961.0]]",,,,
0DYvmeaHMF1fvcDrf9zwbg.jpg,60,other,"[[1447.0, 1022.0], [1491.0, 1024.0], [1492.0, 1067.0], [1447.0, 1067.0]]",,,,
